Column 19,Column 21,Column 23,Column 25,Column 27,Column 29,Column 31,Column 33,Column 35,Column 37,Column 39,Column 41,Column 43,Column 45,Column 47,Column 49,Column 51,Column 53,Column 55,Column 57,Column 59,Column 61,Column 63,Column 65,Column 67,Column 69,Column 71,Column 73,Column 75,Column 77,Column 79,Column 81,Column 83,Column 85
41.380%2C2.1530,41.380%2C2.1550,41.380%2C2.1570,41.380%2C2.1590,41.380%2C2.1610,41.380%2C2.1630,41.380%2C2.1650,41.380%2C2.1670,41.380%2C2.1690,41.380%2C2.1710,41.380%2C2.1730,41.380%2C2.1750,41.380%2C2.1770,41.380%2C2.1790,41.380%2C2.1810,41.380%2C2.1830,41.380%2C2.1850,41.380%2C2.1870,41.380%2C2.1890,41.380%2C2.1910,41.380%2C2.1930,41.380%2C2.1950,41.380%2C2.1970,41.380%2C2.1990,41.380%2C2.2010,41.380%2C2.2030,41.380%2C2.2050,41.380%2C2.2070,41.380%2C2.2090,41.380%2C2.2110,41.380%2C2.2130,41.380%2C2.2150,41.380%2C2.2170,41.380%2C2.2190
41.38080%2C2.1530,41.38080%2C2.1550,41.38080%2C2.1570,41.38080%2C2.1590,41.38080%2C2.1610,41.38080%2C2.1630,41.38080%2C2.1650,41.38080%2C2.1670,41.38080%2C2.1690,41.38080%2C2.1710,41.38080%2C2.1730,41.38080%2C2.1750,41.38080%2C2.1770,41.38080%2C2.1790,41.38080%2C2.1810,41.38080%2C2.1830,41.38080%2C2.1850,41.38080%2C2.1870,41.38080%2C2.1890,41.38080%2C2.1910,41.38080%2C2.1930,41.38080%2C2.1950,41.38080%2C2.1970,41.38080%2C2.1990,41.38080%2C2.2010,41.38080%2C2.2030,41.38080%2C2.2050,41.38080%2C2.2070,41.38080%2C2.2090,41.38080%2C2.2110,41.38080%2C2.2130,41.38080%2C2.2150,41.38080%2C2.2170,41.38080%2C2.2190
41.38160%2C2.1530,41.38160%2C2.1550,41.38160%2C2.1570,41.38160%2C2.1590,41.38160%2C2.1610,41.38160%2C2.1630,41.38160%2C2.1650,41.38160%2C2.1670,41.38160%2C2.1690,41.38160%2C2.1710,41.38160%2C2.1730,41.38160%2C2.1750,41.38160%2C2.1770,41.38160%2C2.1790,41.38160%2C2.1810,41.38160%2C2.1830,41.38160%2C2.1850,41.38160%2C2.1870,41.38160%2C2.1890,41.38160%2C2.1910,41.38160%2C2.1930,41.38160%2C2.1950,41.38160%2C2.1970,41.38160%2C2.1990,41.38160%2C2.2010,41.38160%2C2.2030,41.38160%2C2.2050,41.38160%2C2.2070,41.38160%2C2.2090,41.38160%2C2.2110,41.38160%2C2.2130,41.38160%2C2.2150,41.38160%2C2.2170,41.38160%2C2.2190
41.38320%2C2.1530,41.38320%2C2.1550,41.38320%2C2.1570,41.38320%2C2.1590,41.38320%2C2.1610,41.38320%2C2.1630,41.38320%2C2.1650,41.38320%2C2.1670,41.38320%2C2.1690,41.38320%2C2.1710,41.38320%2C2.1730,41.38320%2C2.1750,41.38320%2C2.1770,41.38320%2C2.1790,41.38320%2C2.1810,41.38320%2C2.1830,41.38320%2C2.1850,41.38320%2C2.1870,41.38320%2C2.1890,41.38320%2C2.1910,41.38320%2C2.1930,41.38320%2C2.1950,41.38320%2C2.1970,41.38320%2C2.1990,41.38320%2C2.2010,41.38320%2C2.2030,41.38320%2C2.2050,41.38320%2C2.2070,41.38320%2C2.2090,41.38320%2C2.2110,41.38320%2C2.2130,41.38320%2C2.2150,41.38320%2C2.2170,41.38320%2C2.2190
41.38480%2C2.1530,41.38480%2C2.1550,41.38480%2C2.1570,41.38480%2C2.1590,41.38480%2C2.1610,41.38480%2C2.1630,41.38480%2C2.1650,41.38480%2C2.1670,41.38480%2C2.1690,41.38480%2C2.1710,41.38480%2C2.1730,41.38480%2C2.1750,41.38480%2C2.1770,41.38480%2C2.1790,41.38480%2C2.1810,41.38480%2C2.1830,41.38480%2C2.1850,41.38480%2C2.1870,41.38480%2C2.1890,41.38480%2C2.1910,41.38480%2C2.1930,41.38480%2C2.1950,41.38480%2C2.1970,41.38480%2C2.1990,41.38480%2C2.2010,41.38480%2C2.2030,41.38480%2C2.2050,41.38480%2C2.2070,41.38480%2C2.2090,41.38480%2C2.2110,41.38480%2C2.2130,41.38480%2C2.2150,41.38480%2C2.2170,41.38480%2C2.2190
41.38640%2C2.1530,41.38640%2C2.1550,41.38640%2C2.1570,41.38640%2C2.1590,41.38640%2C2.1610,41.38640%2C2.1630,41.38640%2C2.1650,41.38640%2C2.1670,41.38640%2C2.1690,41.38640%2C2.1710,41.38640%2C2.1730,41.38640%2C2.1750,41.38640%2C2.1770,41.38640%2C2.1790,41.38640%2C2.1810,41.38640%2C2.1830,41.38640%2C2.1850,41.38640%2C2.1870,41.38640%2C2.1890,41.38640%2C2.1910,41.38640%2C2.1930,41.38640%2C2.1950,41.38640%2C2.1970,41.38640%2C2.1990,41.38640%2C2.2010,41.38640%2C2.2030,41.38640%2C2.2050,41.38640%2C2.2070,41.38640%2C2.2090,41.38640%2C2.2110,41.38640%2C2.2130,41.38640%2C2.2150,41.38640%2C2.2170,41.38640%2C2.2190
41.3880%2C2.1530,41.3880%2C2.1550,41.3880%2C2.1570,41.3880%2C2.1590,41.3880%2C2.1610,41.3880%2C2.1630,41.3880%2C2.1650,41.3880%2C2.1670,41.3880%2C2.1690,41.3880%2C2.1710,41.3880%2C2.1730,41.3880%2C2.1750,41.3880%2C2.1770,41.3880%2C2.1790,41.3880%2C2.1810,41.3880%2C2.1830,41.3880%2C2.1850,41.3880%2C2.1870,41.3880%2C2.1890,41.3880%2C2.1910,41.3880%2C2.1930,41.3880%2C2.1950,41.3880%2C2.1970,41.3880%2C2.1990,41.3880%2C2.2010,41.3880%2C2.2030,41.3880%2C2.2050,41.3880%2C2.2070,41.3880%2C2.2090,41.3880%2C2.2110,41.3880%2C2.2130,41.3880%2C2.2150,41.3880%2C2.2170,41.3880%2C2.2190
41.38960%2C2.1530,41.38960%2C2.1550,41.38960%2C2.1570,41.38960%2C2.1590,41.38960%2C2.1610,41.38960%2C2.1630,41.38960%2C2.1650,41.38960%2C2.1670,41.38960%2C2.1690,41.38960%2C2.1710,41.38960%2C2.1730,41.38960%2C2.1750,41.38960%2C2.1770,41.38960%2C2.1790,41.38960%2C2.1810,41.38960%2C2.1830,41.38960%2C2.1850,41.38960%2C2.1870,41.38960%2C2.1890,41.38960%2C2.1910,41.38960%2C2.1930,41.38960%2C2.1950,41.38960%2C2.1970,41.38960%2C2.1990,41.38960%2C2.2010,41.38960%2C2.2030,41.38960%2C2.2050,41.38960%2C2.2070,41.38960%2C2.2090,41.38960%2C2.2110,41.38960%2C2.2130,41.38960%2C2.2150,41.38960%2C2.2170,41.38960%2C2.2190
41.39120%2C2.1530,41.39120%2C2.1550,41.39120%2C2.1570,41.39120%2C2.1590,41.39120%2C2.1610,41.39120%2C2.1630,41.39120%2C2.1650,41.39120%2C2.1670,41.39120%2C2.1690,41.39120%2C2.1710,41.39120%2C2.1730,41.39120%2C2.1750,41.39120%2C2.1770,41.39120%2C2.1790,41.39120%2C2.1810,41.39120%2C2.1830,41.39120%2C2.1850,41.39120%2C2.1870,41.39120%2C2.1890,41.39120%2C2.1910,41.39120%2C2.1930,41.39120%2C2.1950,41.39120%2C2.1970,41.39120%2C2.1990,41.39120%2C2.2010,41.39120%2C2.2030,41.39120%2C2.2050,41.39120%2C2.2070,41.39120%2C2.2090,41.39120%2C2.2110,41.39120%2C2.2130,41.39120%2C2.2150,41.39120%2C2.2170,41.39120%2C2.2190
41.39280%2C2.1530,41.39280%2C2.1550,41.39280%2C2.1570,41.39280%2C2.1590,41.39280%2C2.1610,41.39280%2C2.1630,41.39280%2C2.1650,41.39280%2C2.1670,41.39280%2C2.1690,41.39280%2C2.1710,41.39280%2C2.1730,41.39280%2C2.1750,41.39280%2C2.1770,41.39280%2C2.1790,41.39280%2C2.1810,41.39280%2C2.1830,41.39280%2C2.1850,41.39280%2C2.1870,41.39280%2C2.1890,41.39280%2C2.1910,41.39280%2C2.1930,41.39280%2C2.1950,41.39280%2C2.1970,41.39280%2C2.1990,41.39280%2C2.2010,41.39280%2C2.2030,41.39280%2C2.2050,41.39280%2C2.2070,41.39280%2C2.2090,41.39280%2C2.2110,41.39280%2C2.2130,41.39280%2C2.2150,41.39280%2C2.2170,41.39280%2C2.2190
