,name,place_id,business_status,raiting,price_level,total_reviews,direction,latitud,longitud,neightbour
64,Masedy Coffe Lounge & Restaurant,ChIJb98SLIiYpBIRe--Fc9f1NtU,OPERATIONAL,3.7,1.0,265,"Av. de Madrid, 171, Barcelona",41.3811007,2.1328809,les Corts
65,Nou Hokkaido,ChIJfaB5TX2YpBIR8dfmBpt2NQw,OPERATIONAL,4.3,1.0,285,"Carrer del Vallespir, 130, 132, Barcelona",41.3821458,2.1353852,les Corts
66,Hot Dogs,ChIJCWjzV32YpBIRwDrkvZpBqj0,OPERATIONAL,4.0,1.0,643,"Plaça del Centre, 2, Barcelona",41.3815286,2.1357987,Sants
67,El Huarique restaurante,ChIJ_YV-YrmZpBIRNBJ5kfCPh4M,OPERATIONAL,3.6,,23,"C. d'Evarist Arnús, 38, Barcelona",41.38294370000001,2.1341529,les Corts
68,Bar-celona Cafè,ChIJ___P8YeYpBIRl5sQbSJNTlM,OPERATIONAL,4.2,1.0,201,"Carrer del Vallespir, 81, Barcelona",41.3807646,2.1360635,Sants
69,Hungry eyes Restaurant,ChIJe2D3fouZpBIRABpj095AHz8,OPERATIONAL,4.7,,312,"Carrer dels Comtes de Bell-Lloc, 188, Barcelona",41.3833741,2.135682000000001,les Corts
70,Barra Cevichera,ChIJhX2yPHGZpBIRGFxmnpwLyiQ,OPERATIONAL,3.8,,28,"C. d'Evarist Arnús, 38, Barcelona",41.3829424,2.1341585,les Corts
71,Pollastríssim,ChIJTRzqtGKYpBIRx3Zr-T2Firs,OPERATIONAL,4.3,1.0,386,"Carrer del Vallespir, 140, Barcelona",41.3824447,2.1351598,les Corts
72,The Good Burger,ChIJZ-lpVS6ZpBIR-IkcY9L113o,OPERATIONAL,3.6,1.0,1069,"Plaça del Centre, 15, Barcelona",41.3822948,2.1359289,les Corts
73,AZZURRO,ChIJaeN9l0aZpBIR4zHzdtlcsQY,OPERATIONAL,4.7,,420,"Carrer de Guitard, 56, Barcelona",41.3831587,2.1372769,les Corts
74,Puerto Sabor,ChIJs7R5Eh-ZpBIRRvV90IncxtM,OPERATIONAL,4.2,2.0,664,"Carrer de Caballero, 50, Barcelona",41.3831194,2.1366139,les Corts
75,Aki Quedem,ChIJdV43OH2YpBIRP59x2t0BOBo,OPERATIONAL,4.2,1.0,41,"Carrer dels Comtes de Bell-Lloc, 172, Barcelona",41.382785,2.1359168,les Corts
76,Petit Ciurana,ChIJmdkVki-ZpBIR5PFIblFdagg,OPERATIONAL,3.4,2.0,370,"Carrer dels Comtes de Bell-Lloc, 189, local 10, Barcelona",41.3843822,2.134454,les Corts
77,Restaurant Ciurana,ChIJD7RfGWOYpBIR1eLL-hfBMyA,OPERATIONAL,3.6,1.0,1652,"Carrer de Can Bruixa, 41, Barcelona",41.3844645,2.1333836,les Corts
78,Restaurante El Triángulo de las Corts,ChIJXx13z3yYpBIRj8vsnz_icLU,OPERATIONAL,4.4,1.0,28,"C/ del Marquès de Sentmenat, 26, Barcelona",41.3847132,2.1358494,les Corts
79,Restaurant La Perla,ChIJkQ-0U3yYpBIRTj-Yu-xiepQ,OPERATIONAL,3.8,2.0,670,"C/ de Numància, 66, Barcelona",41.384216,2.1382096,les Corts
80,Bangkok Cafe,ChIJP6IuHn2YpBIREF8YZp7ZiTs,OPERATIONAL,4.4,2.0,1588,"C. d'Evarist Arnús, 65, Barcelona",41.3837591,2.1361321,les Corts
81,Restaurante Calanda,ChIJt0xYX2OYpBIRLxRBGJ2OAlE,OPERATIONAL,4.1,1.0,283,"Travessera de les Corts, 283, Barcelona",41.3865703,2.1343225,les Corts
82,MENJAR PER EMPORTAR Ca n'andreu,ChIJL-tIqWSYpBIRlhZSeDYTgvs,OPERATIONAL,4.5,,57,"Travessera de les Corts, 287, Barcelona",41.38675670000001,2.1347196,les Corts
83,Restaurant El Raconet de Les Corts,ChIJc91IQHuYpBIRbkwBzGVi9n0,OPERATIONAL,4.5,1.0,668,"Carrer de Joan Gamper, 5, Barcelona",41.3867984,2.1342759,les Corts
84,Restaurant Beirut Barcelona,ChIJeYg8g_mZpBIRfY-5E_sJ0wI,OPERATIONAL,4.7,2.0,452,"Travessera de les Corts, 283, Barcelona",41.3865056,2.1342619,les Corts
85,Gyoza i Ramen,ChIJlVuAm3WZpBIR_qGfYX3JYvY,OPERATIONAL,4.5,,65,"Carrer de Joan Gamper, 3, Barcelona",41.38676479999999,2.1343091,les Corts
86,Lagman Restaurant,ChIJ930OtWSYpBIRwmgfp4-zcIA,OPERATIONAL,4.6,,276,"Carrer del Taquígraf Garriga, 66, Barcelona",41.3876054,2.135045,les Corts
87,Racó d'en Pat,ChIJS4enbHuYpBIRJfhWVmNcemc,OPERATIONAL,4.3,,99,"Travessera de les Corts, 298, Barcelona",41.3876397,2.1367368,les Corts
88,ASIATIC HAN,ChIJc_ctkpKZpBIRkaV1s1I-E9c,OPERATIONAL,4.7,1.0,200,"Carrer de Joan Gamper, 3, Barcelona",41.3867021,2.1341899,les Corts
89,Restaurant Hoy,ChIJxZkIX2OYpBIRHMa90MgG3Es,OPERATIONAL,4.3,1.0,329,"Travessera de les Corts, 281, Barcelona",41.3864703,2.1341558,les Corts
90,Mabi,ChIJvbhhPnuYpBIRoIy7d5XgHjY,OPERATIONAL,3.7,,824,"Carrer de Constança, 6, Barcelona",41.3879278,2.1362582,les Corts
91,Restaurante Chino Bien,ChIJu3xdsGSYpBIRp4zwpHsmoLE,OPERATIONAL,4.4,,16,"C/ de Numància, 133, Barcelona",41.3872441,2.1346871,les Corts
92,Restaurant Sinera Brasescafè,ChIJ6YL0anuYpBIRnVhz_j5Ahs4,OPERATIONAL,4.1,,280,"Travessera de les Corts, 292, Barcelona",41.3874955,2.1364712,les Corts
93,Bordeaux - Cuina Oberta,ChIJyZ9mgmSYpBIRqIx4fq5g2ec,OPERATIONAL,4.5,2.0,175,"Carrer del Taquígraf Garriga, 34, Barcelona",41.3865625,2.1331907,les Corts
94,La Llimona,ChIJv5MsP3uYpBIRf-JSZ1R6HJ8,OPERATIONAL,4.3,1.0,1302,"Carrer de Constança, 6, Barcelona",41.3880203,2.1361551,les Corts
95,El Maravillas,ChIJu8Pue2SYpBIRm_-BPR1-f90,OPERATIONAL,4.0,2.0,1188,"Plaça de la Concòrdia, 15, Barcelona",41.38693050000001,2.1323523,les Corts
96,Inblue,ChIJV-TNQXuYpBIRDW6SXjBqaW0,OPERATIONAL,4.7,1.0,212,"Travessera de les Corts, 300, Barcelona",41.3876946,2.1368379,les Corts
97,Nurivan,ChIJk9u1YGSYpBIRH5ig5p0i7qU,OPERATIONAL,4.2,1.0,604,"Carrer d'Anglesola, 18, Barcelona",41.3876592,2.1324718,les Corts
98,Casa Maki,ChIJx5rMbkqZpBIR6xDYH-DCPjA,OPERATIONAL,4.0,,60,"C/ de Numància, 128, Barcelona",41.387179,2.1351456,les Corts
99,El Guajolote,ChIJvWSUfIWZpBIRN2ld58lK_Zw,OPERATIONAL,4.9,,384,"Carrer de Déu i Mata, 43, Barcelona",41.3875692,2.133974,les Corts
100,Kiku Chan,ChIJa0JgsGSYpBIRNgOLWebRkZ0,OPERATIONAL,4.2,1.0,1372,"C/ de Numància, 133, Barcelona",41.3872624,2.1346685,les Corts
101,Origami Sushi Restaurant,ChIJc56wsmSYpBIRASib7vJlsas,OPERATIONAL,4.0,,522,"C/ de Numància, 126, Barcelona",41.387149,2.1351753,les Corts
102,Restaurant Bouquet,ChIJIX_1I3uYpBIR-rudezwyMTU,OPERATIONAL,4.0,1.0,382,"Carrer de Déu i Mata, 70, Barcelona",41.3885373,2.1360595,les Corts
103,Brunch&Bakery,ChIJ2TRzN1SZpBIRy724_GprAtY,OPERATIONAL,4.3,,530,"Carrer de Déu i Mata, 52, Barcelona",41.3880781,2.1352888,les Corts
104,Can Vador Illa Diagonal,ChIJtRhfIHuYpBIRBAjEohCsxx8,OPERATIONAL,4.2,2.0,946,"L'Illa Diagonal, Carrer de Déu i Mata, 69, Barcelona",41.3886977,2.1356817,les Corts
105,Buenas Migas,ChIJEbLQKHuYpBIR0FIDT3gJ2zk,OPERATIONAL,3.9,,1459,"Carrer de Déu i Mata, 69-95, Local 111, Barcelona",41.3890438,2.1361881,les Corts
106,Las Muns,ChIJ4dsnzHqYpBIREK1CZBD7qXI,OPERATIONAL,4.6,1.0,410,"Av. Diagonal, 557, Local 166, Barcelona",41.3899154,2.1354845,les Corts
107,Restaurant La Tagliatella,ChIJuaqqqnmYpBIR96fs94i_Y6M,OPERATIONAL,3.9,2.0,2511,"Av. Diagonal, 557, Local 1, Barcelona",41.3892636,2.1366596,les Corts
108,Ribera Manero,ChIJR2yMyXqYpBIR4xbJRVIKFko,OPERATIONAL,4.2,3.0,458,"Av. Diagonal, 557, Barcelona",41.3898664,2.1353391,les Corts
109,ÁNDELE L'illa Diagonal,ChIJ8dRB0nqYpBIRsEFDt6cv2t4,OPERATIONAL,3.9,2.0,1066,"Av. Diagonal, 557, Barcelona",41.3894678,2.1352471,les Corts
110,L'Angolo Italiano,ChIJm-HbM2WYpBIRNnpgCb4uDKQ,OPERATIONAL,4.0,2.0,522,"Mercat Rebost, Centro Comercial L'illa Diagonal, Av. Diagonal, 557, Barcelona",41.38964379999999,2.1349653,les Corts
111,GoXO,ChIJcZQE3ruZpBIRJKPqtUnopfM,OPERATIONAL,3.6,,901,"Carrer de Déu i Mata, 69-98 Jardins de Sant Joan de Déu, Barcelona",41.3889246,2.1359741,les Corts
112,Hamburguesa Nostra,ChIJZxT_OWWYpBIRQ3n9zJflwZ4,OPERATIONAL,3.9,2.0,608,"Av. Diagonal, 557, Barcelona",41.389807,2.1350507,les Corts
113,Petit Grill,ChIJWXyrdXaZpBIRN1ow6ruiqs8,OPERATIONAL,4.2,1.0,212,"Parque de L'Illa, Centre Comercial L'Illa Diagonal Zona Parque. Al Parc de L'Illa Diagonal Carrer de Déu i Mata, Av. Diagonal, 69-99, Local 2-b, Barcelona",41.3890664,2.1362396,les Corts
114,Restaurant Bella's,ChIJBexatumZpBIR44LhXGznY4Y,OPERATIONAL,3.8,2.0,1720,"Av. Diagonal, 640, Barcelona",41.3911333,2.1360658,les Corts
115,Casa Carmen Illa,ChIJdRtHrfGZpBIRPzQlKYdJLVc,OPERATIONAL,3.7,2.0,3145,"Av. Diagonal, 640, Barcelona",41.3910754,2.1358908,les Corts
116,Fishhh! L'illa,ChIJR2yMyXqYpBIRG_S_Y71X-as,OPERATIONAL,4.2,3.0,578,"Av. Diagonal, 557, Local 1/46, Barcelona",41.3898338,2.135173,les Corts
117,Press & Reset,ChIJEY96MmWYpBIR6V5jZ609MHo,OPERATIONAL,4.0,,3,"Avinguda Diagonal, 557 Planta: -1 Local: 47, Av. Diagonal, 557, Barcelona",41.3896285,2.1350149,les Corts
118,Pizzamarket,ChIJnznDk3-ZpBIREjmic9vvP70,OPERATIONAL,4.4,,188,"Avinguda Diagonal, 569 Planta: -1 Local: 61 L'illa Diagonal, Av. Diagonal, 557, Local: 61, Barcelona",41.3899178,2.1355567,les Corts
119,UDON,ChIJB-cDjnqYpBIRVjFMQVxl7p8,OPERATIONAL,3.6,2.0,503,"Av. Diagonal, 557, Barcelona",41.3896928,2.1350276,les Corts
120,MOSBO Diagonal,ChIJm4HfQWWYpBIRODfgZBjrw34,OPERATIONAL,4.1,1.0,125,"Av. Diagonal, 646, Barcelona",41.39061179999999,2.134053,les Corts
121,Sakura-ya,ChIJR2yMyXqYpBIR4GPIJN4DQHY,OPERATIONAL,4.1,,525,"Av. Diagonal, 557, Barcelona",41.389761,2.1352469,les Corts
122,Pans & Company,ChIJw8XVK2WYpBIRQFv4FUxGIcs,OPERATIONAL,3.7,1.0,1052,"Av. Diagonal, 557, Barcelona",41.388954,2.133703,les Corts
123,Restaurante Sarrià 82,ChIJw6I3hW-YpBIRPPL6twQMIWk,OPERATIONAL,4.3,1.0,95,"Av. de Sarrià, 129, Barcelona",41.3919751,2.1331608,les Corts
124,Croma by Flash Restaurante,ChIJebMIMQ2ZpBIR9PMcepud-oM,OPERATIONAL,4.0,2.0,338,"Av. Diagonal, 640, Barcelona",41.39124049999999,2.1355987,les Corts
125,Restaurant Negro Rojo,ChIJRU9koXqYpBIRShvEXWwHR9k,OPERATIONAL,4.2,3.0,2748,"Av. Diagonal, 640, Barcelona",41.39093560000001,2.1352044,les Corts
126,Indian Restaurant Shanti,ChIJAZLwTWWYpBIRYlgiaEFiI4U,OPERATIONAL,4.5,2.0,1118,"Carrer d'Agustina Saragossa, 3, 5, Barcelona",41.3914547,2.1340148,les Corts
127,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,4.3,,487,"Carrer de Can Ràbia, 3, Barcelona",41.3925995,2.1344166,les Tres Torres
128,Salad Market Entenza,ChIJFYXKDgSZpBIRVAKi0zRStk4,OPERATIONAL,5.0,1.0,24,"C/ d'Entença, 338, Barcelona",41.39044579999999,2.1377164,les Corts
129,Restaurant Mercès,ChIJRzfrYnqYpBIRPBOKdV3a1vM,OPERATIONAL,4.4,,27,"Av. Diagonal, 541, Barcelona",41.3905518,2.1377216,les Corts
130,Gaig Barcelona,ChIJxUNniGWYpBIRRLODLxXKAhI,OPERATIONAL,4.4,3.0,345,"Carrer de la Nau Santa Maria, 5, Barcelona",41.3913574,2.132092,les Corts
131,Ikibana Sarrià,ChIJD1vjH3CYpBIRnM9zk7IglF0,OPERATIONAL,4.2,4.0,2875,"Carrer del Dr. Fleming, 11, Barcelona",41.392681,2.1352212,les Tres Torres
132,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona",41.3939779,2.1320144,les Tres Torres
133,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona",41.3937397,2.136073,Sant Gervasi - Galvany
134,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,4.3,,166,"Carrer de Buïgas, 26, Barcelona",41.3944531,2.1323254,les Tres Torres
135,Ribs Doctor Fleming,ChIJFR88InCYpBIRFKYFzERvVkY,OPERATIONAL,3.6,2.0,2143,"Carrer del Dr. Fleming, 10, Barcelona",41.3934447,2.1356838,Sant Gervasi - Galvany
136,9Reinas Gourmet. Restaurant argentí,ChIJG8uI43CYpBIRYcdUjQKaYkI,OPERATIONAL,4.5,3.0,375,"C/ de Ganduxer, 28, Barcelona",41.3936739,2.1384925,Sant Gervasi - Galvany
137,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona",41.3944509,2.1372271,Sant Gervasi - Galvany
138,Asador del Mar,ChIJRaf1a3CYpBIRAt3XZ7cEi7U,OPERATIONAL,4.0,2.0,1876,"Carrer de Bori i Fontestà, 45, Barcelona",41.3924501,2.1370119,Sant Gervasi - Galvany
