,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
0,Restaurante Ferial,ChIJ2daX1WSipBIR2bq5dlpGVMA,OPERATIONAL,"{'lat': 41.37365519999999, 'lng': 2.1550569}",4.3,1.0,149,"Carrer de l'Olivera, 78, Barcelona"
1,El Changarrito,ChIJSWHQQGWipBIRY1dsnTzy2nI,OPERATIONAL,"{'lat': 41.3721823, 'lng': 2.1558028}",4.4,1.0,729,"Carrer de la França Xica, 52, Barcelona"
2,Arrel,ChIJYdbCYuijpBIRmcehLIWRiQM,OPERATIONAL,"{'lat': 41.3726928, 'lng': 2.1545334}",4.3,,15,"Av. de Rius i Taulet, 1, Barcelona"
3,El Racó de Montjuïc,ChIJO9n8P2WipBIRNcWmR-l297w,OPERATIONAL,"{'lat': 41.3723382, 'lng': 2.1560433}",4.1,,137,"Carrer de la Font Honrada, 49, Barcelona"
4,El Manjar de las Brasas,ChIJ6WkfLGWipBIRDSM_etYJEdQ,OPERATIONAL,"{'lat': 41.3732105, 'lng': 2.1551653}",3.6,1.0,408,"C/ de Lleida, 19, Barcelona"
5,Casa de Tapas Cañota,ChIJs_gaLnuipBIR34lYW40U6mg,OPERATIONAL,"{'lat': 41.3741389, 'lng': 2.1546833}",4.2,2.0,2772,"C/ de Lleida, 7, Barcelona"
6,Tabo Bar Restaurant,ChIJ627xK2WipBIR6zAxuUmOD_0,OPERATIONAL,"{'lat': 41.3732999, 'lng': 2.1551164}",4.5,1.0,608,"C/ de Lleida, 15, Barcelona"
7,IL Golfo Di Napoli SL,ChIJufLGN2WipBIRppTf7Blg3tc,OPERATIONAL,"{'lat': 41.3723618, 'lng': 2.1553418}",4.4,2.0,814,"C/ de Lleida, 38, Barcelona"
8,Ma’ed,ChIJgcQNuSSjpBIRWUikD37v_D8,OPERATIONAL,"{'lat': 41.3731158, 'lng': 2.1565742}",4.8,,40,"Carrer de Grases, 10, Barcelona"
9,Nirvana bar&eats,ChIJmawFr36jpBIR3IOvEsbzVqE,OPERATIONAL,"{'lat': 41.3736654, 'lng': 2.1554585}",5.0,,3,"Carrer de l'Olivera, 70, Barcelona"
10,Bar Restaurant Filipinas,ChIJgU50yymjpBIRo7fxtM7jAmc,OPERATIONAL,"{'lat': 41.373392, 'lng': 2.1558591}",4.6,1.0,188,"Carrer de la Font Honrada, 26, Barcelona"
11,El Camarote de Tomás,ChIJr958N3uipBIRfOyHKVeRgh8,OPERATIONAL,"{'lat': 41.3744965, 'lng': 2.1544333}",4.6,3.0,199,"C/ de Lleida, 3, Barcelona"
12,Restaurant Pizzeria Alson,ChIJpaWQrwejpBIRG1na_mqJFs8,OPERATIONAL,"{'lat': 41.3744013, 'lng': 2.1555114}",4.6,1.0,225,"Carrer de Tamarit, 82, Barcelona"
13,Rías de Galicia,ChIJeQu9LXuipBIRWL2eYjhP-k8,OPERATIONAL,"{'lat': 41.3742649, 'lng': 2.1545717}",4.4,3.0,979,"C/ de Lleida, 7, Barcelona"
14,"Mimmos Pizza, Font Honrada 32",ChIJy139WqSjpBIRvVE1oVAvnKs,OPERATIONAL,"{'lat': 41.3731084, 'lng': 2.1558809}",4.8,,45,"Carrer de la Font Honrada, 32, local 2, Barcelona"
15,OAKANDA,ChIJpx_DYWWipBIRGuXZuNiyavc,OPERATIONAL,"{'lat': 41.3714247, 'lng': 2.1561458}",3.8,,258,"C/ de Lleida, 51, Barcelona"
16,Restaurante Ferial,ChIJ2daX1WSipBIR2bq5dlpGVMA,OPERATIONAL,"{'lat': 41.37365519999999, 'lng': 2.1550569}",4.3,1.0,149,"Carrer de l'Olivera, 78, Barcelona"
17,El Changarrito,ChIJSWHQQGWipBIRY1dsnTzy2nI,OPERATIONAL,"{'lat': 41.3721823, 'lng': 2.1558028}",4.4,1.0,729,"Carrer de la França Xica, 52, Barcelona"
18,Arrel,ChIJYdbCYuijpBIRmcehLIWRiQM,OPERATIONAL,"{'lat': 41.3726928, 'lng': 2.1545334}",4.3,,15,"Av. de Rius i Taulet, 1, Barcelona"
19,El Racó de Montjuïc,ChIJO9n8P2WipBIRNcWmR-l297w,OPERATIONAL,"{'lat': 41.3723382, 'lng': 2.1560433}",4.1,,137,"Carrer de la Font Honrada, 49, Barcelona"
20,El Manjar de las Brasas,ChIJ6WkfLGWipBIRDSM_etYJEdQ,OPERATIONAL,"{'lat': 41.3732105, 'lng': 2.1551653}",3.6,1.0,408,"C/ de Lleida, 19, Barcelona"
21,Casa de Tapas Cañota,ChIJs_gaLnuipBIR34lYW40U6mg,OPERATIONAL,"{'lat': 41.3741389, 'lng': 2.1546833}",4.2,2.0,2772,"C/ de Lleida, 7, Barcelona"
22,El Camarote de Tomás,ChIJr958N3uipBIRfOyHKVeRgh8,OPERATIONAL,"{'lat': 41.3744965, 'lng': 2.1544333}",4.6,3.0,199,"C/ de Lleida, 3, Barcelona"
23,Suarna Restaurant,ChIJ558FkXuipBIRonWkb0iXnjc,OPERATIONAL,"{'lat': 41.3753924, 'lng': 2.1515468}",3.8,2.0,1927,"C/ de Llança, 1, Barcelona"
24,Tabo Bar Restaurant,ChIJ627xK2WipBIR6zAxuUmOD_0,OPERATIONAL,"{'lat': 41.3732999, 'lng': 2.1551164}",4.5,1.0,608,"C/ de Lleida, 15, Barcelona"
25,Font Bar-Restaurant & Pizzeria,ChIJGTX7cXuipBIRD7O8szLDVO4,OPERATIONAL,"{'lat': 41.3752401, 'lng': 2.1529908}",4.0,,104,"Av. del Paral·lel, 190, Barcelona"
26,Restaurant Pizzeria Alson,ChIJpaWQrwejpBIRG1na_mqJFs8,OPERATIONAL,"{'lat': 41.3744013, 'lng': 2.1555114}",4.6,1.0,225,"Carrer de Tamarit, 82, Barcelona"
27,Nirvana bar&eats,ChIJmawFr36jpBIR3IOvEsbzVqE,OPERATIONAL,"{'lat': 41.3736654, 'lng': 2.1554585}",5.0,,3,"Carrer de l'Olivera, 70, Barcelona"
28,Rías de Galicia,ChIJeQu9LXuipBIRWL2eYjhP-k8,OPERATIONAL,"{'lat': 41.3742649, 'lng': 2.1545717}",4.4,3.0,979,"C/ de Lleida, 7, Barcelona"
29,Ana Restaurant,ChIJ81E2lWSipBIR8s4D01Cu01E,OPERATIONAL,"{'lat': 41.3748207, 'lng': 2.1562422}",3.8,,17,"Av. del Paral·lel, 169, Barcelona"
30,IL Golfo Di Napoli SL,ChIJufLGN2WipBIRppTf7Blg3tc,OPERATIONAL,"{'lat': 41.3723618, 'lng': 2.1553418}",4.4,2.0,814,"C/ de Lleida, 38, Barcelona"
31,Ma’ed,ChIJgcQNuSSjpBIRWUikD37v_D8,OPERATIONAL,"{'lat': 41.3731158, 'lng': 2.1565742}",4.8,,40,"Carrer de Grases, 10, Barcelona"
32,Bar Restaurant Filipinas,ChIJgU50yymjpBIRo7fxtM7jAmc,OPERATIONAL,"{'lat': 41.373392, 'lng': 2.1558591}",4.6,1.0,188,"Carrer de la Font Honrada, 26, Barcelona"
33,Ruar Street Food,ChIJWX82axGjpBIRxmEiZVj4LIs,OPERATIONAL,"{'lat': 41.375271, 'lng': 2.1556387}",4.3,,860,"Av. del Paral·lel, 172 bis, Barcelona"
34,Spice Bcn Parallel,ChIJN-0eiHyjpBIROefYVqM8Tso,OPERATIONAL,"{'lat': 41.3752526, 'lng': 2.1534956}",4.4,1.0,579,"Av. del Paral·lel, 184, Barcelona"
35,"Mimmos Pizza, Font Honrada 32",ChIJy139WqSjpBIRvVE1oVAvnKs,OPERATIONAL,"{'lat': 41.3731084, 'lng': 2.1558809}",4.8,,45,"Carrer de la Font Honrada, 32, local 2, Barcelona"
36,Restaurante Ferial,ChIJ2daX1WSipBIR2bq5dlpGVMA,OPERATIONAL,"{'lat': 41.37365519999999, 'lng': 2.1550569}",4.3,1.0,149,"Carrer de l'Olivera, 78, Barcelona"
37,La Gastronomica (Burgers&Beers),ChIJe6bSXXuipBIRTYExNDcTevg,OPERATIONAL,"{'lat': 41.3755833, 'lng': 2.15353}",4.7,2.0,1268,"C. de Vilamarí, 9, Barcelona"
38,Casa de Tapas Cañota,ChIJs_gaLnuipBIR34lYW40U6mg,OPERATIONAL,"{'lat': 41.3741389, 'lng': 2.1546833}",4.2,2.0,2772,"C/ de Lleida, 7, Barcelona"
39,Suarna Restaurant,ChIJ558FkXuipBIRonWkb0iXnjc,OPERATIONAL,"{'lat': 41.3753924, 'lng': 2.1515468}",3.8,2.0,1927,"C/ de Llança, 1, Barcelona"
40,El Camarote de Tomás,ChIJr958N3uipBIRfOyHKVeRgh8,OPERATIONAL,"{'lat': 41.3744965, 'lng': 2.1544333}",4.6,3.0,199,"C/ de Lleida, 3, Barcelona"
41,El Changarrito,ChIJSWHQQGWipBIRY1dsnTzy2nI,OPERATIONAL,"{'lat': 41.3721823, 'lng': 2.1558028}",4.4,1.0,729,"Carrer de la França Xica, 52, Barcelona"
42,Font Bar-Restaurant & Pizzeria,ChIJGTX7cXuipBIRD7O8szLDVO4,OPERATIONAL,"{'lat': 41.3752401, 'lng': 2.1529908}",4.0,,104,"Av. del Paral·lel, 190, Barcelona"
43,Arrel,ChIJYdbCYuijpBIRmcehLIWRiQM,OPERATIONAL,"{'lat': 41.3726928, 'lng': 2.1545334}",4.3,,15,"Av. de Rius i Taulet, 1, Barcelona"
44,El Mesonet,ChIJlV3rfnuipBIR6tvx1mJy7J8,OPERATIONAL,"{'lat': 41.3759522, 'lng': 2.1525699}",4.4,1.0,518,"C/ de Sepúlveda, 11, Barcelona"
45,El Racó de Montjuïc,ChIJO9n8P2WipBIRNcWmR-l297w,OPERATIONAL,"{'lat': 41.3723382, 'lng': 2.1560433}",4.1,,137,"Carrer de la Font Honrada, 49, Barcelona"
46,El Manjar de las Brasas,ChIJ6WkfLGWipBIRDSM_etYJEdQ,OPERATIONAL,"{'lat': 41.3732105, 'lng': 2.1551653}",3.6,1.0,408,"C/ de Lleida, 19, Barcelona"
47,Rías de Galicia,ChIJeQu9LXuipBIRWL2eYjhP-k8,OPERATIONAL,"{'lat': 41.3742649, 'lng': 2.1545717}",4.4,3.0,979,"C/ de Lleida, 7, Barcelona"
48,Restaurant Pizzeria Alson,ChIJpaWQrwejpBIRG1na_mqJFs8,OPERATIONAL,"{'lat': 41.3744013, 'lng': 2.1555114}",4.6,1.0,225,"Carrer de Tamarit, 82, Barcelona"
49,Ruar Street Food,ChIJWX82axGjpBIRxmEiZVj4LIs,OPERATIONAL,"{'lat': 41.375271, 'lng': 2.1556387}",4.3,,860,"Av. del Paral·lel, 172 bis, Barcelona"
50,Ana Restaurant,ChIJ81E2lWSipBIR8s4D01Cu01E,OPERATIONAL,"{'lat': 41.3748207, 'lng': 2.1562422}",3.8,,17,"Av. del Paral·lel, 169, Barcelona"
51,Tabo Bar Restaurant,ChIJ627xK2WipBIR6zAxuUmOD_0,OPERATIONAL,"{'lat': 41.3732999, 'lng': 2.1551164}",4.5,1.0,608,"C/ de Lleida, 15, Barcelona"
52,Spice Bcn Parallel,ChIJN-0eiHyjpBIROefYVqM8Tso,OPERATIONAL,"{'lat': 41.3752526, 'lng': 2.1534956}",4.4,1.0,579,"Av. del Paral·lel, 184, Barcelona"
53,Nirvana bar&eats,ChIJmawFr36jpBIR3IOvEsbzVqE,OPERATIONAL,"{'lat': 41.3736654, 'lng': 2.1554585}",5.0,,3,"Carrer de l'Olivera, 70, Barcelona"
54,Ma’ed,ChIJgcQNuSSjpBIRWUikD37v_D8,OPERATIONAL,"{'lat': 41.3731158, 'lng': 2.1565742}",4.8,,40,"Carrer de Grases, 10, Barcelona"
55,Bar Restaurant Filipinas,ChIJgU50yymjpBIRo7fxtM7jAmc,OPERATIONAL,"{'lat': 41.373392, 'lng': 2.1558591}",4.6,1.0,188,"Carrer de la Font Honrada, 26, Barcelona"
56,La Gastronomica (Burgers&Beers),ChIJe6bSXXuipBIRTYExNDcTevg,OPERATIONAL,"{'lat': 41.3755833, 'lng': 2.15353}",4.7,2.0,1268,"C. de Vilamarí, 9, Barcelona"
57,Font Bar-Restaurant & Pizzeria,ChIJGTX7cXuipBIRD7O8szLDVO4,OPERATIONAL,"{'lat': 41.3752401, 'lng': 2.1529908}",4.0,,104,"Av. del Paral·lel, 190, Barcelona"
58,Restaurante Ferial,ChIJ2daX1WSipBIR2bq5dlpGVMA,OPERATIONAL,"{'lat': 41.37365519999999, 'lng': 2.1550569}",4.3,1.0,149,"Carrer de l'Olivera, 78, Barcelona"
