index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
34,ChIJSYjlFYaYpBIR91DB6OdPZSQ,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:15AM–4:00PM,7:15AM–4:00PM,7:15AM–4:00PM,7:15AM–4:00PM,Closed,Closed,7:15AM–4:00PM
35,ChIJwc59_NyZpBIRoJL4klpmygU,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–1:00AM,12:00PM–12:00AM,12:00PM–12:00AM
36,ChIJiYeq1YWYpBIR-c03Qcu7tic,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,7:30–11:00PM,7:30–11:00PM,7:30–11:00PM,7:30–11:00PM,"1:30–3:00PM, 7:30–11:00PM","1:30–3:00PM, 7:30–11:00PM",7:30–11:00PM
37,ChIJPf1-eoaYpBIRL9G7K5lv8Wg,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,1:00–4:00PM,1:00–4:00PM,"1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM",1:00–4:00PM,1:00–4:00PM
38,ChIJsfs3COmZpBIRDRTKEcVN4Fw,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,"1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM","1:00–4:00PM, 7:00PM–12:00AM"
39,ChIJhfH1qYiYpBIREcmqiNZ5JgA,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,6:00PM–12:00AM,6:00PM–12:00AM,6:00PM–12:00AM,6:00PM–1:00AM,12:00PM–1:00AM,12:00–6:00PM,6:00PM–12:00AM
40,ChIJocptdn6ZpBIRiGsUWrjyHjQ,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,,,,,,,
41,ChIJoYkl-IaYpBIRjRVlUIlKHEs,Yes,Yes,Yes,Yes,No,Yes,Yes,8:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,"9:00AM–5:00PM, 8:00–11:30PM",9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM
42,ChIJ7x47WoaYpBIR3TTQ_0d6U4w,Yes,Yes,Yes,Yes,No,Yes,Yes,1:00–4:00PM,1:00–4:00PM,"1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM",1:00–4:00PM,Closed
43,ChIJhT843qCZpBIRoK_FijSPWlg,Yes,Maybe,Yes,Yes,No,Maybe,Maybe,11:00AM–12:00AM,11:00AM–12:00AM,11:00AM–12:00AM,11:00AM–12:30AM,11:00AM–12:30AM,11:00AM–12:00AM,11:00AM–12:00AM
44,ChIJAZxdtYiYpBIRmT6LCmIQLJE,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,7:00AM–3:00PM,7:00AM–11:30PM,7:00AM–11:30PM,7:00AM–12:30AM,8:00AM–12:30AM,8:00AM–11:30PM,7:00AM–11:30PM
45,ChIJu0Wr_IWYpBIROJGP4dNWyT4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Closed,Closed,"1:00–4:00PM, 8:00–11:00PM","12:30–4:00PM, 8:00–11:00PM","12:30–4:00PM, 8:00–11:00PM","12:30–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM"
