,name,raiting,price_level,total_reviews,neightbour,distritos,direction,latitud,longitud,url
0,La Rita,4.1,1.0,3188,la Dreta de l'Eixample,Eixample,"C/ d'Aragó, 279, Barcelona",41.393167,2.165951,https://maps.google.com/?cid=5477723715768664688
1,Restaurant Zed - Sagrada Família,4.7,2.0,1367,la Sagrada Família,Eixample,"C/ de València, 399, Barcelona",41.401295,2.1745733,https://maps.google.com/?cid=4309263924655050246
2,Petit Bangkok.,4.6,2.0,2029,la Dreta de l'Eixample,Eixample,"C/ de Balmes, 106, Barcelona",41.3923508,2.1588269,https://maps.google.com/?cid=6414354068645264045
